Date,Usage
12/31/2009,280
1/31/2010,669
2/28/2010,559
3/31/2010,611
4/30/2010,309
5/31/2010,238
6/30/2010,775
7/31/2010,1113
8/31/2010,1214
9/30/2010,1273
10/31/2010,580
11/30/2010,245
12/31/2010,352
1/31/2011,523
2/28/2011,440
3/31/2011,277
4/30/2011,234
5/31/2011,332
6/30/2011,779
7/31/2011,1274
8/31/2011,1023
9/30/2011,1432
10/31/2011,503
11/30/2011,289
12/31/2011,430
1/31/2012,389
2/29/2012,462
3/31/2012,291
4/30/2012,247
5/31/2012,500
6/30/2012,648
7/31/2012,1167
8/31/2012,1863
9/30/2012,1133
10/31/2012,438
11/30/2012,291
12/31/2012,343
1/31/2013,388
2/28/2013,300
3/31/2013,280
4/30/2013,232
5/31/2013,285
6/30/2013,830
7/31/2013,1358
8/31/2013,1285
9/30/2013,927
10/31/2013,378
11/30/2013,130
12/31/2013,367
1/31/2014,
2/28/2014,
3/31/2014,329
4/30/2014,400
5/31/2014,487
6/30/2014,942
7/31/2014,1493
8/31/2014,1280
9/30/2014,1543
10/31/2014,548
11/30/2014,396
12/31/2014,504
1/31/2015,781
2/28/2015,873
3/31/2015,876
4/30/2015,507
5/31/2015,482
6/30/2015,804
7/31/2015,1817
8/31/2015,1733
9/30/2015,1063
10/31/2015,447
11/30/2015,468
12/31/2015,327
1/31/2016,555
2/29/2016,510
3/31/2016,416
4/30/2016,408
5/31/2016,738
6/30/2016,
7/31/2016,1378
8/31/2016,2218
9/30/2016,1539
10/31/2016,1211
11/30/2016,720
12/31/2016,545
1/31/2017,599
2/28/2017,530
3/31/2017,450
4/30/2017,366
5/31/2017,
6/30/2017,792
7/31/2017,1508
8/31/2017,1426
9/30/2017,1155
10/31/2017,660
11/30/2017,467
12/31/2017,749
1/31/2018,652
2/28/2018,437
3/31/2018,350
4/30/2018,
5/31/2018,
6/30/2018,727
7/31/2018,1784
8/31/2018,2570
9/30/2018,797
10/31/2018,891
11/30/2018,369
12/31/2018,733
1/31/2019,801
2/28/2019,532
3/31/2019,510
4/30/2019,342
5/31/2019,727
6/30/2019,
7/31/2019,
8/31/2019,
9/30/2019,
10/31/2019,
11/30/2019,
12/31/2019,
1/31/2020,
2/29/2020,
3/31/2020,
4/30/2020,
5/31/2020,
6/30/2020,
7/31/2020,
8/31/2020,
9/30/2020,
10/31/2020,
11/30/2020,
12/31/2020,
1/31/2021,
2/28/2021,
3/31/2021,
4/30/2021,
5/31/2021,
6/30/2021,
7/31/2021,
8/31/2021,
9/30/2021,
10/31/2021,
11/30/2021,
12/31/2021,
1/31/2022,
2/28/2022,
3/31/2022,
4/30/2022,
5/31/2022,
6/30/2022,
7/31/2022,
8/31/2022,
9/30/2022,
10/31/2022,
11/30/2022,
12/31/2022,
1/31/2023,
2/28/2023,
3/31/2023,
4/30/2023,
5/31/2023,
6/30/2023,
7/31/2023,
8/31/2023,
9/30/2023,
10/31/2023,
11/30/2023,
12/31/2023,
1/31/2024,
2/29/2024,
3/31/2024,
4/30/2024,
5/31/2024,
6/30/2024,
7/31/2024,
8/31/2024,
9/30/2024,
10/31/2024,
11/30/2024,
12/31/2024,
1/31/2025,
2/28/2025,
3/31/2025,
4/30/2025,
